id,ticker,fundingRate
1,BTCUSDT,-1
2,TROYUSDT,-1
3,MKRUSDT,-1
4,LINAUSDT,-1
5,DOGEUSDT,-1
6,KAVAUSDT,-1
7,KEYUSDT,-1
8,STPTUSDT,-1
9,AMBUSDT,-1
10,REEFUSDT,-1
11,SCUSDT,-1
12,TRXUSDT,-1
13,SLPUSDT,-1
14,DGBUSDT,-1
15,MDTUSDT,-1
16,RENUSDT,-1
17,IOSTUSDT,-1
18,PROMUSDT,-1
19,XRPUSDT,-1
20,OCEANUSDT,-1
21,SNTUSDT,-1
22,ZILUSDT,-1
23,UNFIUSDT,-1
24,FTTUSDT,-1
25,FTMUSDT,-1
26,POWRUSDT,-1
27,CELRUSDT,-1
28,XMRUSDT,-1
29,USDCUSDT,-1
30,ANKRUSDT,-1
31,LINKUSDT,-1
32,STXUSDT,-1
33,ADAUSDT,-1
34,DENTUSDT,-1
35,SNXUSDT,-1
36,VTHOUSDT,-1
37,ZRXUSDT,-1
38,CHZUSDT,-1
39,SUNUSDT,-1
40,KSMUSDT,-1
41,VETUSDT,-1
42,NMRUSDT,-1
43,UNIUSDT,-1
44,ETHUSDT,-1
45,RUNEUSDT,-1
46,GRTUSDT,-1
47,MTLUSDT,-1
48,ONEUSDT,-1
49,COSUSDT,-1
50,OGNUSDT,-1
51,BADGERUSDT,-1
52,ZECUSDT,-1
53,RLCUSDT,-1
54,1INCHUSDT,-1
55,RVNUSDT,-1
56,EGLDUSDT,-1
57,FXSUSDT,-1
58,KNCUSDT,-1
59,ZENUSDT,-1
60,PHAUSDT,-1
61,RSRUSDT,-1
62,FUNUSDT,-1
63,XVSUSDT,-1
64,SKLUSDT,-1
65,ETCUSDT,-1
66,IOTAUSDT,-1
67,LTCUSDT,-1
68,IOTXUSDT,-1
69,BANDUSDT,-1
70,SOLUSDT,-1
71,DUSKUSDT,-1
72,BNBUSDT,-1
73,SYSUSDT,-1
74,HOTUSDT,-1
75,ARPAUSDT,-1
76,THETAUSDT,-1
77,AAVEUSDT,-1
78,HIVEUSDT,-1
79,ALGOUSDT,-1
80,NEARUSDT,-1
81,SANDUSDT,-1
82,RIFUSDT,-1
83,INJUSDT,-1
84,STORJUSDT,-1
85,DIAUSDT,-1
86,NEOUSDT,-1
87,AVAUSDT,1
88,ENJUSDT,1
89,ROSEUSDT,1
90,LSKUSDT,1
91,ALPHAUSDT,1
92,CKBUSDT,1
93,ALICEUSDT,1
94,AVAXUSDT,1
95,XLMUSDT,1
96,CHRUSDT,1
97,UMAUSDT,1
98,XVGUSDT,1
99,FETUSDT,1
100,SFPUSDT,1
101,TRBUSDT,1
102,SXPUSDT,1
103,ONGUSDT,1
104,AXSUSDT,1
105,SCRTUSDT,1
106,CTSIUSDT,1
107,FILUSDT,1
108,QTUMUSDT,1
109,TRUUSDT,1
110,YFIUSDT,1
111,DEXEUSDT,1
112,ONTUSDT,1
113,VIDTUSDT,1
114,TOMOUSDT,1
115,SRMUSDT,1
116,ANTUSDT,1
117,AUDIOUSDT,1
118,COCOSUSDT,1
119,MBLUSDT,1
120,HNTUSDT,1
121,MATICUSDT,1
122,BTTUSDT,1
123,BTSUSDT,1
124,LUNAUSDT,1
125,FRONTUSDT,1
126,LENDUSDT,1
127,OXTUSDT,1
128,NULSUSDT,1
129,STMXUSDT,1
130,TWTUSDT,1
131,DOTUSDT,1
132,BAKEUSDT,1
133,BNTUSDT,1
134,LRCUSDT,1
135,BATUSDT,1
136,AUCTIONUSDT,1
137,COMPUSDT,1
138,PAXGUSDT,1
139,BLZUSDT,1
140,CVCUSDT,1
141,XEMUSDT,1
142,IDEXUSDT,1
143,HBARUSDT,1
144,ATOMUSDT,1
145,DEGOUSDT,1
146,ARKUSDT,1
147,NKNUSDT,1
148,BELUSDT,1
149,BALUSDT,1
150,SUSHIUSDT,1
151,LITUSDT,1
152,OMGUSDT,1
153,ICXUSDT,1
154,MANAUSDT,1
155,EOSUSDT,1
156,PHBUSDT,1
157,XTZUSDT,1
158,FIOUSDT,1
159,CTKUSDT,1
160,STRAXUSDT,1
161,WAVESUSDT,1
162,CELOUSDT,1
163,COTIUSDT,1
164,GASUSDT,1
165,STEEMUSDT,1
166,DFUSDT,1
167,BCHUSDT,1
168,CAKEUSDT,1
169,CRVUSDT,1
170,DASHUSDT,1
171,OMUSDT,1
172,FLMUSDT,1
173,AERGOUSDT,1
